Detection_ID,Image,Class,YOLO_Conf,Evidence_Score,Discrepancy_Delta,Priority_Score,Priority_Tier,Scan_Rank,Global_Fusion_Rank,Global_YOLO_Rank,Rank_Delta,Is_True_Positive,Matched_IoU,Triage_Rationale
51,000555_jpg.rf.039eb6257b787b3c06e74b9e93bcf74f.jpg,wreck,91.09,70.5,0.0,54.5,REVIEW_REQUIRED,1,51,25,-26,1,0.8836,Moderate evidence candidate requiring operator verification.
52,000431_jpg.rf.a3aa0109c59453fdb5c7a167e3718756.jpg,wreck,94.76,66.8,0.0,54.5,REVIEW_REQUIRED,1,52,13,-39,1,0.8629,Moderate evidence candidate requiring operator verification.
53,000504_jpg.rf.fdb71c2f998b17e8bcdce359fc40c3b9.jpg,wreck,88.41,72.7,0.0,54.4,REVIEW_REQUIRED,1,53,37,-16,1,0.6968,Moderate evidence candidate requiring operator verification.
54,000111_jpg.rf.87a301974fe3491aec102012f1be7ab3.jpg,airplane,85.87,48.4,0.0,54.4,REVIEW_REQUIRED,1,54,51,-3,1,0.773,Moderate evidence candidate requiring operator verification.
55,000189_jpg.rf.f459bd5eba94804d42ecea439cf8d499.jpg,drowning victim,34.0,76.0,0.0,54.4,REVIEW_REQUIRED,2,55,133,78,1,0.6536,Moderate evidence candidate requiring operator verification.
56,000453_jpg.rf.8f03fb9ade2b9caf7492eafe55c4baf8.jpg,drowning victim,56.07,53.6,0.0,54.3,REVIEW_REQUIRED,1,56,100,44,0,0.0,Moderate evidence candidate requiring operator verification.
57,000248_jpg.rf.b26b833101cc7be79b357f0faae9d625.jpg,wreck,78.2,82.2,0.0,54.1,REVIEW_REQUIRED,1,57,66,9,1,0.5027,Moderate evidence candidate requiring operator verification.
58,000127_jpg.rf.1e061ca5f3a258bb1733fcd90b8ab808.jpg,drowning victim,37.47,71.6,0.0,54.0,REVIEW_REQUIRED,1,58,125,67,0,0.0,Moderate evidence candidate requiring operator verification.
59,000536_jpg.rf.45086e1d8fafb3a1629882d6edf08eff.jpg,wreck,94.59,65.2,0.0,53.9,REVIEW_REQUIRED,1,59,14,-45,1,0.8678,Moderate evidence candidate requiring operator verification.
60,000234_jpg.rf.d03392437c3a2b9d917333e901605e71.jpg,wreck,95.78,64.0,0.0,53.9,REVIEW_REQUIRED,1,60,9,-51,1,0.9586,Moderate evidence candidate requiring operator verification.
61,000562_jpg.rf.eb310ee848e995454c5c9d84b2c24ed4.jpg,wreck,87.06,72.4,0.0,53.8,REVIEW_REQUIRED,1,61,44,-17,1,0.6548,Moderate evidence candidate requiring operator verification.
62,000008_jpg.rf.9fcda58b0c5acab328c191a8bd4ebd7d.jpg,airplane,70.2,62.5,0.0,53.7,REVIEW_REQUIRED,1,62,80,18,1,0.9542,Moderate evidence candidate requiring operator verification.
63,000503_jpg.rf.6a9f7d8380ce2e07f5ca7f5c2604ecef.jpg,wreck,92.98,65.5,0.0,53.5,REVIEW_REQUIRED,2,63,22,-41,1,0.945,Moderate evidence candidate requiring operator verification.
64,000368_jpg.rf.61db6625ce58a6b9b75dae20b63c941a.jpg,wreck,91.07,66.8,0.0,53.3,REVIEW_REQUIRED,1,64,26,-38,1,0.9066,Moderate evidence candidate requiring operator verification.
65,000161_jpg.rf.f706f74d6d2aa80f8efb67822b6c8a45.jpg,mine,27.75,73.8,0.0,52.6,REVIEW_REQUIRED,5,65,152,87,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
66,000324_jpg.rf.e058ed94b5be020e17f40532252ac5bc.jpg,wreck,74.75,80.9,0.0,52.5,REVIEW_REQUIRED,1,66,72,6,1,0.8321,Moderate evidence candidate requiring operator verification.
67,000497_jpg.rf.c3202ba2b447990c47e46a96310ab07f.jpg,wreck,79.9,75.6,0.0,52.5,REVIEW_REQUIRED,1,67,61,-6,0,0.302,Moderate evidence candidate requiring operator verification.
68,000427_jpg.rf.f801587b1a384d5f12dd433282783c8c.jpg,wreck,94.77,60.4,0.0,52.4,REVIEW_REQUIRED,3,68,12,-56,1,0.8614,Moderate evidence candidate requiring operator verification.
69,000212_jpg.rf.177b8d203b522165d2e20c7ebc032f09.jpg,drowning victim,42.06,63.2,0.0,52.1,REVIEW_REQUIRED,2,69,118,49,1,0.5708,Moderate evidence candidate requiring operator verification.
70,000356_jpg.rf.7f74a09e1da27d99fa9247e84d8b9470.jpg,wreck,89.36,64.8,0.0,52.0,REVIEW_REQUIRED,1,70,34,-36,1,0.9261,Moderate evidence candidate requiring operator verification.
71,000576_jpg.rf.4a6df5853b8c3c5d2ef6a3e80245be29.jpg,wreck,89.4,64.8,0.0,52.0,REVIEW_REQUIRED,1,71,33,-38,1,0.8593,Moderate evidence candidate requiring operator verification.
72,000419_jpg.rf.3e0ff4205ff0798d0ab29bbcaadc7373.jpg,wreck,74.43,79.4,0.0,51.9,REVIEW_REQUIRED,1,72,73,1,1,0.8158,Moderate evidence candidate requiring operator verification.
73,000233_jpg.rf.13f74a5f9920e8de77dcf6ce0a55766c.jpg,wreck,86.45,67.4,0.0,51.9,REVIEW_REQUIRED,1,73,47,-26,1,0.8604,Moderate evidence candidate requiring operator verification.
74,000228_jpg.rf.8c49d94c4ea3f623d11a225179108cb6.jpg,wreck,86.38,67.0,0.0,51.8,REVIEW_REQUIRED,1,74,48,-26,0,0.3489,Moderate evidence candidate requiring operator verification.
75,000368_jpg.rf.61db6625ce58a6b9b75dae20b63c941a.jpg,wreck,77.24,76.0,0.0,51.7,REVIEW_REQUIRED,2,75,71,-4,1,0.8166,Moderate evidence candidate requiring operator verification.
76,000290_jpg.rf.ebfba27b85e570b92f965c7508ce6a80.jpg,wreck,86.08,67.0,0.0,51.7,REVIEW_REQUIRED,1,76,49,-27,1,0.8241,Moderate evidence candidate requiring operator verification.
77,000453_jpg.rf.8f03fb9ade2b9caf7492eafe55c4baf8.jpg,wreck,64.41,88.9,0.0,51.7,REVIEW_REQUIRED,2,77,87,10,1,0.8418,Moderate evidence candidate requiring operator verification.
78,000161_jpg.rf.f706f74d6d2aa80f8efb67822b6c8a45.jpg,mine,25.03,74.9,0.0,51.7,REVIEW_REQUIRED,6,78,158,80,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
79,000189_jpg.rf.f459bd5eba94804d42ecea439cf8d499.jpg,drowning victim,51.13,53.3,0.0,51.7,REVIEW_REQUIRED,3,79,111,32,0,0.1669,Moderate evidence candidate requiring operator verification.
80,000132_jpg.rf.f2ba423ba22a7c3e4d7700d635aab568.jpg,drowning victim,37.37,66.9,0.0,51.6,REVIEW_REQUIRED,2,80,126,46,0,0.0,Moderate evidence candidate requiring operator verification.
81,000455_jpg.rf.81a219a06f62a65eb7eecbde1ada7f41.jpg,drowning victim,34.21,69.5,0.0,51.3,REVIEW_REQUIRED,1,81,132,51,0,0.0,Moderate evidence candidate requiring operator verification.
82,000605_jpg.rf.e608301ba4b6029dfbad4677394a6d32.jpg,wreck,77.33,74.4,0.0,51.2,REVIEW_REQUIRED,1,82,70,-12,0,0.0,Moderate evidence candidate requiring operator verification.
83,000189_jpg.rf.f459bd5eba94804d42ecea439cf8d499.jpg,drowning victim,28.59,74.8,0.0,51.2,REVIEW_REQUIRED,4,83,149,66,1,0.8383,Moderate evidence candidate requiring operator verification.
84,000528_jpg.rf.cbf8785dae41ff38dde0a09de9e4fbe7.jpg,wreck,79.14,72.1,0.0,51.0,REVIEW_REQUIRED,1,84,63,-21,1,0.9312,Moderate evidence candidate requiring operator verification.
85,000669_jpg.rf.c75fb78a158910d98138fcac8f59ed07.jpg,mine,28.9,69.6,0.0,51.0,REVIEW_REQUIRED,1,85,146,61,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
86,000402_jpg.rf.9c1ce694648eed443ade9a7110e0ffe7.jpg,wreck,84.02,67.0,0.0,51.0,REVIEW_REQUIRED,1,86,55,-31,1,0.9095,Moderate evidence candidate requiring operator verification.
87,000225_jpg.rf.3b0e73d0e39a3b3db62b7abac27aa14f.jpg,wreck,97.03,53.9,0.0,50.9,REVIEW_REQUIRED,1,87,1,-86,1,0.915,Moderate evidence candidate requiring operator verification.
88,000379_jpg.rf.04af9b44cc9affbb20732329e1fab455.jpg,wreck,96.42,54.0,0.0,50.8,REVIEW_REQUIRED,1,88,7,-81,1,0.9248,Moderate evidence candidate requiring operator verification.
89,000341_jpg.rf.3937ff52d91a3ed597ccb77ccb92a967.jpg,wreck,92.68,57.6,0.0,50.7,REVIEW_REQUIRED,1,89,23,-66,1,0.7895,Moderate evidence candidate requiring operator verification.
90,000160_jpg.rf.316a812180e05f5a6682948a1c1a8422.jpg,mine,29.09,68.7,0.0,50.6,REVIEW_REQUIRED,1,90,143,53,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
91,000513_jpg.rf.f6a0a4be62a5b5bd3431f72b70ce51cd.jpg,wreck,77.72,72.0,0.0,50.5,REVIEW_REQUIRED,1,91,67,-24,1,0.869,Moderate evidence candidate requiring operator verification.
92,000253_jpg.rf.b01c6bf31461983988c07843e05a7d5c.jpg,mine,28.64,88.3,0.0,50.5,REVIEW_REQUIRED,2,92,148,56,0,0.0,"High neural/acoustic evidence discrepancy requires analyst review. Neural/evidence delta is 59.7% (conf: 28.6%, ev: 88.3%)."
93,000421_jpg.rf.0e5d334e324788ccf77c74a4739e9bd6.jpg,wreck,74.24,74.4,0.0,50.2,REVIEW_REQUIRED,2,93,74,-19,0,0.0,Moderate evidence candidate requiring operator verification.
94,000123_jpg.rf.2ed0ee5490c8a919344ab2ab0ce3e21f.jpg,drowning victim,25.9,75.0,0.0,49.9,REVIEW_REQUIRED,5,94,156,62,0,0.0,Moderate evidence candidate requiring operator verification.
95,000123_jpg.rf.2ed0ee5490c8a919344ab2ab0ce3e21f.jpg,mine,28.98,86.2,0.0,49.6,REVIEW_REQUIRED,6,95,144,49,0,0.0,"High neural/acoustic evidence discrepancy requires analyst review. Neural/evidence delta is 57.2% (conf: 29.0%, ev: 86.2%)."
96,000312_jpg.rf.34f50b21632e1cf0489948f763b234e8.jpg,wreck,85.55,61.1,0.0,49.5,REVIEW_REQUIRED,1,96,53,-43,1,0.6581,Moderate evidence candidate requiring operator verification.
97,000015_jpg.rf.47c73e8904dd302e7cefbacfb9d2f52d.jpg,airplane,57.85,64.2,0.0,49.4,REVIEW_REQUIRED,1,97,98,1,1,0.5797,Moderate evidence candidate requiring operator verification.
98,000294_jpg.rf.70c8636e48aae4fb9aca63562a6d449e.jpg,airplane,52.83,68.6,0.0,49.2,REVIEW_REQUIRED,1,98,108,10,0,0.0,Moderate evidence candidate requiring operator verification.
99,000071_jpg.rf.8ea06a81b8debfcdd1d722fd9f0fcab3.jpg,airplane,66.94,54.2,0.0,49.1,REVIEW_REQUIRED,1,99,85,-14,1,0.8709,Moderate evidence candidate requiring operator verification.
100,000132_jpg.rf.f2ba423ba22a7c3e4d7700d635aab568.jpg,drowning victim,36.23,62.3,0.0,48.8,REVIEW_REQUIRED,3,100,129,29,0,0.0,Moderate evidence candidate requiring operator verification.
101,000411_jpg.rf.408d749c4d88ad75995ab23b8b91e0c2.jpg,wreck,83.51,60.8,0.0,48.7,REVIEW_REQUIRED,1,101,57,-44,1,0.8797,Moderate evidence candidate requiring operator verification.
102,000667_jpg.rf.f7fd9871d310cbecfd4f91c35d73f32d.jpg,wreck,84.52,59.4,0.0,48.6,REVIEW_REQUIRED,1,102,54,-48,1,0.6692,Moderate evidence candidate requiring operator verification.
103,000161_jpg.rf.f706f74d6d2aa80f8efb67822b6c8a45.jpg,mine,40.05,53.9,0.0,48.6,REVIEW_REQUIRED,7,103,121,18,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
104,000197_jpg.rf.cc5f9c6a274bfe1ee585222f53eec7b4.jpg,wreck,55.79,87.5,0.0,48.4,REVIEW_REQUIRED,1,104,101,-3,0,0.0,Moderate evidence candidate requiring operator verification.
105,000318_jpg.rf.db1460b1725b6fba7dd03d0efd2d04d0.jpg,wreck,89.73,53.5,0.0,48.3,REVIEW_REQUIRED,1,105,32,-73,1,0.7595,Moderate evidence candidate requiring operator verification.
106,000431_jpg.rf.a3aa0109c59453fdb5c7a167e3718756.jpg,wreck,74.0,68.9,0.0,48.2,REVIEW_REQUIRED,2,106,76,-30,1,0.8197,Moderate evidence candidate requiring operator verification.
107,000589_jpg.rf.e2682c2bbf871de5bd161aa7d7ac6bc4.jpg,wreck,90.35,52.6,0.0,48.2,REVIEW_REQUIRED,1,107,30,-77,1,0.8913,Moderate evidence candidate requiring operator verification.
108,000462_jpg.rf.b512be93c42561afeb75076ee9f25d53.jpg,wreck,90.48,51.6,0.0,48.0,REVIEW_REQUIRED,1,108,29,-79,1,0.8345,Moderate evidence candidate requiring operator verification.
109,000338_jpg.rf.718cca3d0c1f077300b670a757a72334.jpg,wreck,87.39,53.9,0.0,47.7,REVIEW_REQUIRED,1,109,41,-68,1,0.9309,Moderate evidence candidate requiring operator verification.
110,000552_jpg.rf.5054bc9684a7beeb2984b9da3df21fa9.jpg,wreck,87.96,52.2,0.0,47.3,REVIEW_REQUIRED,1,110,39,-71,1,0.8221,Moderate evidence candidate requiring operator verification.
111,000521_jpg.rf.8666495929013e66e65000ac9e94155c.jpg,wreck,85.77,53.6,0.0,47.0,REVIEW_REQUIRED,1,111,52,-59,1,0.6458,Moderate evidence candidate requiring operator verification.
112,000124_jpg.rf.13a44339a12e0b1c13c9f03ff78ef9bb.jpg,mine,25.12,85.0,0.0,47.0,REVIEW_REQUIRED,9,112,157,45,0,0.0,"High neural/acoustic evidence discrepancy requires analyst review. Neural/evidence delta is 59.9% (conf: 25.1%, ev: 85.0%)."
113,000161_jpg.rf.f706f74d6d2aa80f8efb67822b6c8a45.jpg,mine,27.33,63.4,0.0,47.0,REVIEW_REQUIRED,8,113,153,40,0,0.0,Subsurface mine hazard candidate requiring manual analyst verification.
114,000210_jpg.rf.5f7d19f92fda44a24cad3a0e2ccb4a60.jpg,wreck,79.03,58.0,0.0,46.2,REVIEW_REQUIRED,1,114,64,-50,0,0.0,Moderate evidence candidate requiring operator verification.
115,000574_jpg.rf.23967b4a2c4a425494900816952cc5a1.jpg,wreck,79.58,57.2,0.0,46.2,REVIEW_REQUIRED,1,115,62,-53,1,0.8672,Moderate evidence candidate requiring operator verification.
116,000323_jpg.rf.6ce01a4b43237d781b37b141780a0d0b.jpg,wreck,62.86,73.2,0.0,45.9,REVIEW_REQUIRED,1,116,91,-25,1,0.7085,Moderate evidence candidate requiring operator verification.
117,000547_jpg.rf.095d7202ef36c26d342634224fef00de.jpg,wreck,70.98,64.3,0.0,45.7,REVIEW_REQUIRED,1,117,79,-38,1,0.7795,Moderate evidence candidate requiring operator verification.
118,000573_jpg.rf.7fd62a821b3be20a66b19ce7c6f78182.jpg,wreck,59.05,75.6,0.0,45.4,REVIEW_REQUIRED,1,118,97,-21,1,0.6468,Moderate evidence candidate requiring operator verification.
119,000479_jpg.rf.320c3faa2c6ecc40cee08d9566c51db1.jpg,wreck,80.3,53.9,0.0,45.3,REVIEW_REQUIRED,1,119,60,-59,1,0.7182,Moderate evidence candidate requiring operator verification.
120,000554_jpg.rf.e4efba9e9f2415ae84387d0ebc010ee5.jpg,wreck,68.82,65.0,0.0,45.2,REVIEW_REQUIRED,1,120,81,-39,1,0.9053,Moderate evidence candidate requiring operator verification.
121,000160_jpg.rf.316a812180e05f5a6682948a1c1a8422.jpg,mine,27.08,78.9,0.0,44.8,REVIEW_REQUIRED,2,121,154,33,0,0.0,"High neural/acoustic evidence discrepancy requires analyst review. Neural/evidence delta is 51.8% (conf: 27.1%, ev: 78.9%)."
122,000173_jpg.rf.215244a206b17f15d089f9ee432e9bc4.jpg,airplane,51.99,57.9,0.0,44.5,DEFERRED_INSPECTION,1,122,109,-13,0,0.0,Low acoustic contrast return; deferred to secondary review.
123,000665_jpg.rf.470b9b66e15cdb803197e3a7f4691768.jpg,wreck,62.44,68.9,0.0,44.3,DEFERRED_INSPECTION,1,123,92,-31,1,0.8842,Lower-priority static wreck candidate.
124,000124_jpg.rf.13a44339a12e0b1c13c9f03ff78ef9bb.jpg,mine,26.39,58.9,0.0,44.1,DEFERRED_INSPECTION,10,124,155,31,1,0.6888,Low acoustic contrast return; deferred to secondary review.
125,000161_jpg.rf.f706f74d6d2aa80f8efb67822b6c8a45.jpg,mine,31.27,53.8,0.0,44.0,DEFERRED_INSPECTION,9,125,136,11,0,0.0,Low acoustic contrast return; deferred to secondary review.
126,000316_jpg.rf.f711a907c27a15050caec26a2431fb43.jpg,wreck,77.41,52.6,0.0,43.9,DEFERRED_INSPECTION,1,126,69,-57,1,0.6854,Lower-priority static wreck candidate.
127,000678_jpg.rf.a369300d71b66873315581454622784d.jpg,wreck,55.13,74.3,0.0,43.7,DEFERRED_INSPECTION,2,127,104,-23,0,0.0,Lower-priority static wreck candidate.
